Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Apocynaceae,Asclepias,subulata,0.93,0.70,0.98,23.75,-109.75,greenhouse,Wyatt et al. 1996
Apocynaceae,Asclepias,syriaca,0.92,,,38,-85,#s are ovule penetration,Kephart 1981
Apocynaceae,Asclepias,texana,1.00,1.00,1.00,29.333,-103.311,greenhouse,Wyatt et al. 1998
Apocynaceae,Asclepias,verticillata,1.00,,,38,-85,,Kephart 1981
Apocynaceae,Aspidosperma,macrocarpon,1.00,,,31.773,35.272,,multiple
Apocynaceae,Calotropis,gigantea,1.00,1.00,1.00,11.71,-69.78,moved into Apocynaceae,Lemus-Jimenez and Ramirez 2005
Apocynaceae,Calotropis,procera,1.00,1.00,1.00,11.71,-69.78,moved into Apocynaceae,Lemus-Jimenez and Ramirez 2005
Apocynaceae,Elytropus,chilensis,1.00,,,-40,-72.3,,Riveros et al. 1996
Apocynaceae,Gonolobus,suberosus,1.00,,,34.886,-90.527,,Lipow and Wyatt 1998
Apocynaceae,Hancornia,pubescens,0.88,,,-15.86666667,-47.85,,Oliveira et al. 2004
Apocynaceae,Macrosiphonia,petrae,0.24,,,-31.73,-64.43,,Morales and Galetto 2003
Apocynaceae,Mandevilla,pentlandiana,0.42,,,-32.064,-63.633,,Torres and Galetto 1999
Apocynaceae,Oxypetalum,appendiculatum,-2.18,0.05,-2.01,-20.75,-42.85,,Vieira and Shepherd 1999
Apocynaceae,Oxypetalum,banksii,-0.46,0.12,-0.28,,,,Vieira and Shepherd 1999
Apocynaceae,Pachycarpus,asperifolius,1.00,,,-29.87336667,30.5648,avg. see Inds. Tab,Shuttleworth and Johnson 2006
Apocynaceae,Rauvolfia,grandiflora,1.00,,,-8.125,-34.875,,Lopes and Machado 1999
Apocynaceae,Vincetoxicum,hirundinaria,0.51,-0.04,0.49,island,island,,Leimu 2004
Apocynaceae,Vincetoxicum,rossicum,0.00,,,45.417,-75.717,,St Denis and Cappuccino 2004
Apocynaceae,Xysmalobium,orbiculare,1.00,,,-29.5,30.03333333,,Shuttleworth and Johnson 2009
Apocynaceae,Xysmalobium,undulatum,1.00,,,,,,Shuttleworth and Johnson 2008
Araliaceae,Didymopanax,vinosum,0.51,,,-13,-50,,Saraiva et al. 1996
Araliaceae,Panax,quinquefolium,,-0.39,,41.122,-73.795,seed set #s are percentages; Schlessman 1985,Lloyd and Schoen 1992
Arecaceae,Arum,maculatum,0.00,0.04,0.04,51.097,-0.483,avg. see inds. Tab,Diaz et al. 2006
Arecaceae,Dieffenbachia,longispatha,0.54,,,10.417,81.017,Young 1986,Lloyd and Schoen 1992
Arecaceae,Dieffenbachia,sp,0.57,,,10.35,-67.683,,Ramirez and Seres 1994
Arecaceae,Geonoma,tenuis,0.42,,,10.35,-67.683,,Ramirez and Seres 1994
Arecaceae,Xanthosoma,undipes,0.02,,,10.35,-67.683,,Ramirez and Seres 1994
Asphodelaceae,Aloe,africana,1.00,1.00,1.00,-33.833,24.917,outcrossed seed reported as percentage; family changed to Asphodelaceae,Botes et al. 2009
Asphodelaceae,Aloe,greatheadii,0.85,,,,,,Symes et al. 2009
Asphodelaceae,Aloe,inconspicua,0.94,,,-28.88333333,29.96666667,,Hargreaves et al. 2008
Asphodelaceae,Aloe,lineata,1.00,1.00,1.00,-33.833,24.917,outcrossed seed reported as percentage; family changed to Asphodelaceae:  var. muirii,Botes et al. 2009
Asphodelaceae,Aloe,marlothii,0.75,,,,,,Symes et al. 2009
Asphodelaceae,Aloe,pluridens,1.00,1.00,1.00,-33.833,24.917,outcrossed seed reported as percentage; family changed to Asphodelaceae,Botes et al. 2009
Asphodelaceae,Aloe,speciosa,1.00,1.00,1.00,-33.833,24.917,outcrossed seed reported as percentage; family changed to Asphodelaceae,Botes et al. 2009
Asphodelaceae,Asphodelus,aestivus,0.44,0.50,0.72,39.977,-4.833,,Lifante 1996
Asphodelaceae,Bulbine,bulbosa,0.18,0.69,0.74,-39.484,153.126,,Owen et al. 2007
Asphodelaceae,Kniphofia,caulescens,1.00,,,,,,Brown et al. 2010
Asphodelaceae,Kniphofia,laxiflora,1.00,1.00,1.00,-29.317,30.283,,Johnson et al. 2009
Asteliaceae,Cordyline,australis,0.93,,,island,island,NZ; islandavg. see Inds. Tab,Beever and Parkes 1996
Asteraceae,Achillea,atrata,,0.80,,15.6895,47.6885,,Scheffknecht et al. 2007
Asteraceae,Achillea,clusiana,,0.76,,15.6895,47.6885,,Scheffknecht et al. 2007
Asteraceae,Ambrosia,artemisiifolia,0.93,,,44.05,-79.483,used average t,Friedman and Barrett 2008
