Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Bromeliaceae,Billbergia,vittata,1.00,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Bromelia,antiacantha,0.85,,,,,,"Canela and Sazima, Mattalana et al. 2010"
Bromeliaceae,Bromelia,serra,1.00,,,-29.5,-60.17,,Bianchi et al. 2000
Bromeliaceae,Dyckia,encholirioides,0.68,,,,,,"Krieck 2008, Mattalana et al. 2010"
Bromeliaceae,Dyckia,ferox,0.78,,,-29.5,-60.17,,Bianchi et al. 2000
Bromeliaceae,Dyckia,tuberosa,0.95,,,-23.167,46.5167,,Vosgueritchian et al. 2006
Bromeliaceae,Edmundoa,lindenii,-0.05,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Lymania,smithii,0.14,,,,,,"Siqueira-Filho 2003, Mattalana et al. 2010"
Bromeliaceae,Neoregelia,guttata,-1.22,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Neoregelia,macrosepala,0.62,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Neoregelia,pauciflora,1.00,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Nidularium,cariacicaense,-0.18,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Nidularium,espiritosantense,0.24,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Nidularium,procerum,0.25,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Pitcairnia,albiflos,0.06,-1.15,-1.02,-22.95,-43.983,,Wendt et al. 2001
Bromeliaceae,Pitcairnia,altensteinii,0.04,,,10.35,-67.683,,Ramirez and Seres 1994
Bromeliaceae,Pitcairnia,brittoniana,0.00,,,10.3,-84.8,,Bush and Beach 1995
Bromeliaceae,Pitcairnia,corcovadensis,-0.83,,,,,,"Wendt et al. 2002, Mattalana et al. 2010"
Bromeliaceae,Pitcairnia,flammea,-0.57,,,,,,"Wendt et al. 2002, Mattalana et al. 2010"
Bromeliaceae,Pitcairnia,flammea var. pallida,0.22,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Pitcairnia,staminea,0.02,-0.57,-0.54,-22.95,-43.983,,Wendt et al. 2001
Bromeliaceae,Portea,fosteriana,0.88,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Quesnelia,arvensis,0.71,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Quesnelia,lateralis,0.91,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Quesnelia,marmorata,1.00,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Quesnelia,quesneliana,0.18,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Quesnelia,strobilispica,0.55,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Racinaea,spiculosa,0.21,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Renealmia,nicolaioides,-0.05,,,10.35,-67.683,,Ramirez and Seres 1994
Bromeliaceae,Tillandsia,dasyliriifolia,-0.02,,,,,,"Ramirez-Morrillo et al. 2004, Mattalana et al. 2010"
Bromeliaceae,Tillandsia,geminiflora,-0.62,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Tillandsia,ixioides,1.00,,,26.83,-65.33,,Aizen and Feinsinger 1994
Bromeliaceae,Tillandsia,juncea,-0.33,,,,,,"Hietz et al. 2006, Mattalana et al. 2010"
Bromeliaceae,Tillandsia,multicaulis,0.96,,,,,,"Hietz et al. 2006, Mattalana et al. 2010"
Bromeliaceae,Tillandsia,prodigiosa,0.02,,,,,,"Sarti 2007, Mattalana et al. 2010"
Bromeliaceae,Tillandsia,punctulata,0.86,,,,,,"Hietz et al. 2006, Mattalana et al. 2010"
Bromeliaceae,Tillandsia,streptophylla,1.00,,,20.833,90.3333,,Morillo et al. 2009
Bromeliaceae,Tillandsia,stricta,0.56,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Tillandsia,tenuifolia,0.20,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,aff. fenestralis,0.11,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,bituminosa,0.20,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,bracteosa,-0.90,,,10.3,-84.8,,Bush and Beach 1995
Bromeliaceae,Vriesea,delicatula,-0.25,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,ensiformis,-1.33,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,gracilior,-0.69,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,heterostachys,0.10,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,hydrophora,0.33,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,hygrometrica,-0.93,,,10.3,-84.8,,Bush and Beach 1995
Bromeliaceae,Vriesea,incurvata,0.38,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,kautskyana,-0.25,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,longicaulis,0.80,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,longiscapa,0.58,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,neoglutinosa,0.16,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,platynema,0.08,,,10.35,-67.683,,Ramirez and Seres 1994
Bromeliaceae,Vriesea,procera,0.21,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,ruschii,0.05,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,scalaris,0.46,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,simplex,0.65,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Vriesea,sparsiflora,0.32,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Vriesea,splendens,-0.23,,,10.35,-67.683,,Ramirez and Seres 1994
Bromeliaceae,Vriesea,vagans,0.35,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Werauhia,gladioliflora,-0.03,,,,,,"Cascante-Marin et al. 2006, Mattalana et al. 2010"
Bromeliaceae,Werauhia,sintenisii,-1.58,-3.02,-9.39,island,island,,Lasso and Ackerman 2004
Bruniaceae,Audouinia,capitata,1.00,,,-34.164,18.376,avg. see Inds. Tab,de Lange et al. 1993
Burseraceae,Boswellia,serrata,1.00,,,26.227,78.339,percentages are averages of individuals; see other tab,Sunnichan et al. 2005
Butomaceae,Butomus,umbellatus,,-0.10,,51.673,-109.863,"avg. see inds. Tab, agamospermy from K&J 1993","Fernando and Cass 1997, Krahulcova and Jarolimova 1993"
Cactaceae,Cereus,peruvianus,1.00,1.00,1.00,31.278,34.792,,Weiss et al. 1994
Cactaceae,Cleistocactus,baumannii,1.00,,,-29.5,-60.17,,Bianchi et al. 2000
Cactaceae,Echinopsis,chamaecereus,1.00,1.00,1.00,-25.681,-65.39,SI cultivar; native lat/long,Boyle and Idnurm 2001
Cactaceae,Ferocactus,cylindraceus,0.75,0.83,0.96,32.6,-111.233,,McIntosh 2002
Cactaceae,Ferocactus,wislezeni,0.79,0.73,0.94,32.233,-111.033,,McIntosh 2002
Cactaceae,Hylocereus,polyrhizus,0.74,0.90,0.97,12.94,-85.012,avg. see inds. Tab; bot. garden,Lichtenzveig et al. 2000
Cactaceae,Melocactus,curvispinus,0.20,0.11,0.29,10.4833,-68.2833,avg. see inds. Tab,Nassar and Ramirez 2004
Cactaceae,Melocactus,zehntneri,-0.13,,,-8.46,-37.42,Locatelli and Machado 1999,Machado et al. 2006
Cactaceae,Opuntia,cordobensis,0.33,,,-31.73,-64.43,,Morales and Galetto 2003
Cactaceae,Opuntia,ellisana,-2.13,0.65,,,,,Wang et al. 1996
Cactaceae,Opuntia,excelsia,1.00,,,19.5,-105.05,,Bullock 1985
Cactaceae,Opuntia,ficus-indica,0.50,-15.40,,,,Average of 2 clones,Wang et al. 1996
Cactaceae,Opuntia,palmadora,-0.21,,,-8.46,-37.42,Locatelli and Machado 1999,Machado et al. 2006
Cactaceae,Opuntia,phaeacantha,,-0.03,,38.307,-104.579,seed set #s are percentages;Osborn et al 1988,Lloyd and Schoen 1992
Cactaceae,Opuntia,quimilo,1.00,,,26.83,-65.33,,Aizen and Feinsinger 1994
Cactaceae,Opuntia,retrorsa,0.06,,,-29.5,-60.17,,Bianchi et al. 2000
Cactaceae,Opuntia,streptacantha,0.45,0.92,,,,,Wang et al. 1996
Cactaceae,Pereskia,guamacho,0.84,0.85,0.98,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Cactaceae,Pilosocereus,moritzianus,0.64,,1.00,-10.88333333,-67.03333333,"""fruits produced from selfing did not reach maturity""",Nassar et al. 1997
Cactaceae,Rhipsalis,lumbricoides,0.87,,,26.83,-65.33,,Aizen and Feinsinger 1994
Cactaceae,Schlumbergera,sp,1.00,1.00,1.00,-22.421,-44.05,"""buckleyi""; culltivar",Boyle 1997
Cactaceae,Selenicereus,megalanthus,0.20,0.24,0.39,3,-76,estimate of native range,multiple
Cactaceae,Stenocereus,griseus,1.00,,,-10.88333333,-67.03333333,,Nassar et al. 1997
Cactaceae,Stenocereus,horrispinus,1.00,,,-11.95,-69.975,,Nassar et al. 1997
Cactaceae,Stenocereus,repandus,1.00,,,-11.95,-69.975,,Nassar et al. 1997
Cactaceae,Stenocereus,stellatus,1.00,1.00,1.00,18.208,-97.734,avg. see inds. Tab,Casas et al. 1999
Campanulaceae,Campanula,americana,,0.05,,37.337,-80.67,avg. see inds. Tab; greenhouse,Galloway et al. 2003
Campanulaceae,Campanula,rapunculoides,,0.63,,40.787,-77.858,,multiple
Campanulaceae,Campanula,rotundifolia,0.25,,,69.017,20.833,,Nuortila et al. 2004
Campanulaceae,Campanula,thyrsoides,0.96,,,46.572,8.416,,Agisdottir et al. 2007
Campanulaceae,Clintonia,borealis,0.38,0.76,0.85,45.07,-73.149,two sites average,multiple
Campanulaceae,Lobelia,cardinalis,,-0.02,,42.451,-85.507,avg. see inds. Tab,Johnston 1992
Campanulaceae,Lobelia,siphilitica,,-0.11,,42.451,-85.507,,Johnston 1992
Campanulaceae,Syphocamphylus,reticulatus,0.82,,,10,-66,,Sobrevila and Arroyo 1982
Campanulaceae,Wahlenbergia,albomarginata,0.00,,,island,island,Lloyd and Yates 1982,Newstrom and Robertson 2005
Cannaceae,Canna,indica,0.20,0.07,0.26,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Capparaceae,Crateva,adansonii,0.86,,,28.63333333,77.2,,Mangla and Tandon 2011
Caprifoliaceae,Linnaea,borealis,0.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Caryocaraceae,Caryocar,brasiliense,0.73,0.54,,-15.867,-47.85,previously t=1? Unknown source; current t = Collevatti et al. 2010,Gribel and Hay 1993
Caryophyllaceae,Arenaria,uniflora,,0.09,,34.162,-82.903,,Fishman and Wyatt 1999
Caryophyllaceae,Schiedea,membranacea,,0.12,,island,island,,Culley et al. 1999
Caryophyllaceae,Silene,vulgaris,0.03,0.15,0.17,47.413,4.197,glasshouse,Glaettli and Goudet 2006
Caryophyllaceae,Stellaria,pubera,0.04,,,41,-78.9,,Motten 1986
Celastraceae,Hemiangium,excelsum,1.00,,,10.53,-85.25,,Bawa 1974
Chrysobalanaceae,Couepia,polyandra,1.00,,,19.5,-105.05,,Bullock 1985
Chrysobalanaceae,Hirtella,glandulosa,0.82,,,-17.392,-48.05,,Arista et al. 1997
Chrysobalanaceae,Hirtella,gracilipes,0.11,,,-17.392,-48.05,,Arista et al. 1997
Chrysobalanaceae,Hirtella,racemosa,1.00,,,10.53,-85.25,,Bawa 1974
Cistaceae,Cistus,carthaginensis,0.97,0.94,1.00,38.882,-0.725,avg. see inds. Tab; greenhouse,Boscau and Guemes 2001
Cistaceae,Cistus,ladanifer,1.00,,,37.317,-6.433,,Talavera et al. 1993
Cistaceae,Fumana,ericifolia,-0.01,-0.63,-0.65,38.462,-0.687,greenhouse,Guemes and Boscaiu 2000
Cistaceae,Helianthemum,caput_felis,0.04,,,island,island,,Rodriguez-Perez 2005
Cistaceae,Helianthemum,marifolium,0.81,,,island,island,,Rodriguez-Perez 2005
Clethraceae,Clethra,alnifolia,0.21,0.77,0.82,41.483,-71.533,Sample origin not given in Reed,multiple
Clusiaceae,Kielmeyera,coriacea,0.96,,,-15.86666667,-47.85,Oliviera and Sazima 1990,Oliveira and Gibbs 2000
Clusiaceae,Kielmeyera,speciosa,0.94,,,-15.86666667,-47.85,Oliviera and Sazima 1990,Oliveira and Gibbs 2000
Cochlospermaceae,Cochlospermum,insigne,0.31,,,-7.333333333,-36.3,,Leite and Machado 2010
Cochlospermaceae,Cochlospermum,vitifolium,1.00,,,10.53,-85.25,,multiple
Colchicaceae,Burchardia,umbellata,0.94,,,-37.05,146.083,,Ramsey and Vaughton 2000
Colchicaceae,Gloriosa ,superba L. ,,0.66,,-24.75,28.23,,le Roux and Robbertse 1997
Colchicaceae,Wurmbea,biglandulosa,,0.87,,-30.553075,150.7764,,Ramsey et al. 2006
Combretaceae,Combretum,leprosum,1.00,,,-8.46,-37.42,Quirino and Machado 2001,Machado et al. 2006
Combretaceae,Combretum,pisonioides,1.00,,,-8.46,-37.42,Quirino and Machado 2001,Machado et al. 2006
Combretaceae,Laguncularia,racemosa,0.93,0.93,0.99,11.71,-69.78,Dioecy?,Lemus-Jimenez and Ramirez 2005
Commelinaceae,Commelina,diffusa,0.29,0.40,0.58,10.5,-66.88,,Jaimes and Ramirez 1999
Commelinaceae,Tinantia,anomala,,-0.10,,32.435,-100.371,Simpson et al 1986,Lloyd and Schoen 1992
Commelinaceae,Tradescantia,zanonia,0.95,,,10.35,-67.683,,Ramirez and Seres 1994
Convolvulaceae,Convolvulus,chilensis,0.05,,,-30,-71,average range,Suarez et al. 2004
Convolvulaceae,Convolvulus,nodiflorus,1.00,1.00,1.00,10.5,-66.88,habit odd,Jaimes and Ramirez 1999
Convolvulaceae,Evolvulus,tenuis,1.00,1.00,1.00,10.5,-66.88,subsp. Longifolius,Jaimes and Ramirez 1999
Convolvulaceae,Ipomoea,alba,0.28,0.12,0.36,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Convolvulaceae,Ipomoea,asarifolia,0.95,,,-8.46,-37.42,"Piedale 1998, Kiill and Ranga 2003",Machado et al. 2006
Convolvulaceae,Ipomoea,bahiensis,1.00,,,-8.46,-37.42,Piedale 1998,Machado et al. 2006
Convolvulaceae,Ipomoea,brasiliana,1.00,,,-8.46,-37.42,Piedale 1998,Machado et al. 2006
Convolvulaceae,Ipomoea,carnea,0.44,0.56,0.75,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Convolvulaceae,Ipomoea,habeliana,-0.14,,,island,island,lat=0.533,McMullen 2009
Convolvulaceae,Ipomoea,incarnata,0.92,,,-8.46,-37.42,Piedale 1998,Machado et al. 2006
Convolvulaceae,Ipomoea,pes_carpae,0.75,0.76,0.94,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Convolvulaceae,Ipomoea,wolcottiana,0.96,,,19.5,-105.05,,Bullock 1985
Convolvulaceae,Jacquemontia,multiflora,0.45,,,-8.46,-37.42,Kiill and Ranga 2003,Machado et al. 2006
Convolvulaceae,Merremia,aegyptia,0.32,,,-8.46,-37.42,Kiill and Ranga 2003,Machado et al. 2006
Cornaceae,Cornus,canadensis,1.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Cornaceae,Corokia,cotoneaster,0.98,,,island,island,,Webb 1994
Costaceae,Costus,malortieanus,0.32,0.37,0.57,10,-84,Tropicos,Grove 1985
Costaceae,Costus,pulverulentus,0.21,0.76,0.81,10,-84,Tropicos,Grove 1985
Crassulaceae,Kalanchoe,daigremontiana,0.00,0.33,0.33,10.5,-66.88,,Jaimes and Ramirez 1999
Crassulaceae,Kalanchoe,pinnata,0.00,0.20,0.20,10.5,-66.88,,Jaimes and Ramirez 1999
Cunoniaceae,Caldcluvia,paniculata,-9.97,,,-40,-72.3,,Riveros et al. 1996
Cunoniaceae,Eucryphia,cordifolia,0.99,,,-40,-72.3,,Riveros et al. 1996
Cupressaceae,Thuja,plicata,0.21,,,51.781,-124.629,,O'Connell and Ritland 2005
Cyclanthaceae,Asplundia,fendlerii,0.00,,,10.35,-67.683,,Ramirez and Seres 1994
Cyclanthaceae,Asplundia,moritziana,0.00,,,10.35,-67.683,,Ramirez and Seres 1994
Cyclanthaceae,Evodianthus,funifer,0.09,,,10.35,-67.683,,Ramirez and Seres 1994
Cyperaceae,Carex,arctata,,0.15,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,bigelowii,-0.13,,,68.35,18.5,avg. see inds. Tab,Stenstrom 1999
Cyperaceae,Carex,hirtifolia,,-0.09,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,laxiflora,,0.10,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,pedunculata,,-0.02,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,pensylvanica,,0.22,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,plantaginea,,0.06,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Carex,scabrata,,0.12,,44.05,-79.48333333,,Friedman and Barrett 2009
Cyperaceae,Rhynchospora,barbata,1.00,1.00,1.00,8.933333333,-67.41666667,,Ramirez and Brito 1990
Cyperaceae,Rhynchospora,velutina,1.00,1.00,1.00,8.933333333,-67.41666667,,Ramirez and Brito 1990
Cyperaceae,Scleria,latifolia,0.12,,,10.35,-67.683,,Ramirez and Seres 1994
Cyrillaceae,Cyrilla,racemiflora,0.21,,,32.601,-85.491,,Dute et al. 2004
Cytinaceae,Cytinus,hypocristis,-0.01,,,,,"Huelva Province, Spain; parasite; averaged ISI over all populations (hosts)",de Vega et al. 2001
Desfontainiaceae,Desfontainia,spinosa,1.00,,,-40,-72.3,,Riveros et al. 1996
Dilleniaceae,Curatella,americana,-0.67,,,10.53,-85.25,,Bawa 1974
Dilleniaceae,Davilla,elliptica,0.40,,,-15.86666667,-47.85,Barbosa 1997,Oliveira and Gibbs 2000
Dipsacaceae,Knautia,arvensis,0.00,,,60.017,11.75,greenhouse,Vange 2002
Dipterocarpaceae,Dipterocarpus,oblongifolius,-0.08,,,4.04,101.514,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Dipterocarpus,tempehes,0.96,,,4.333,115.833,avg. see inds. Tab,Kenta et al. 2002
Dipterocarpaceae,Shorea,acuminata,0.97,,,3.226,102.126,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,cordifolia,0.99,,,island,island,sri lanka,multiple
Dipterocarpaceae,Shorea,disticha,1.00,,,island,island,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,hemsleyana,1.00,,,4.04,101.514,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,lepidota,0.93,,,3.226,102.126,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,leprosula,0.91,,,3.226,102.126,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,macroptera,0.87,,,3.226,102.126,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,ovalis,0.08,,,3.226,102.126,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,robusta,-0.03,,,18.7,83.667,,Atluri et al. 2004
Dipterocarpaceae,Shorea,siamensis,0.80,,,15.6,99.333,,Ghazoul et al. 1998
Dipterocarpaceae,Shorea,splendida,1.00,,,island,island,,Conservation of genetic resources in the dipterocarpaceae
Dipterocarpaceae,Shorea,trapezifolia,0.87,,,island,island,avg. see inds. Tab,Conservation of genetic resources in the dipterocarpaceae
Droseraceae,Drosera,granduligera,,-0.26,,-32.3745,116.1625,,Chen et al. 1997
Droseraceae,Drosera,macrantha,,1.00,,-32.342,116.117,subsp macarntha,Chen et al. 1997
Droseraceae,Drosera,manniana,,1.00,,-32.08,116.095,,Chen et al. 1997
Droseraceae,Drosera,nitidula,,-0.30,,-31.786,115.88,subsp omissa,Chen et al. 1997
Droseraceae,Drosera,pulchella,,-0.39,,-31.786,115.88,,Chen et al. 1997
Droseraceae,Drosera,rosulata,,1.00,,-32.3745,116.1625,,Chen et al. 1997
Droseraceae,Drosera,stolonifera,,1.00,,-30.737,115.543,,Chen et al. 1997
Droseraceae,Drosera,tubaestylis,,1.00,,-32.344,116.111,,Chen et al. 1997
Droseraceae,Drosophyllum,lusitanicum,-0.02,,,39.2,-6.967,fruit set % for cross pollination is actually data from open pollination,Ortega-Olivencia et al. 1998
Ericaceae,Acrotriche,serrulata,0.83,,,,,,Schneemilch and Steggles 2010
Ericaceae,Andromeda,polifolia,0.41,0.79,0.88,58.1,14.066,,Froborg 1996
Ericaceae,Calluna,vulgaris,0.30,0.80,0.86,50.41633333,5.038666667,,multiple
Ericaceae,Chimaphila,umbellata,0.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Ericaceae,Erica,andevalensis,0.00,-0.03,-0.03,37.653,-6.875,,Aparicio and Garcia-Martin 1996
Ericaceae,Gaylussacia,baccata,-1.92,,,41.48333333,-71.53333333,,Rathcke 1988
Ericaceae,Gaylussacia,frondata,0.88,,,41.48333333,-71.53333333,,Rathcke 1988
Ericaceae,Kalmia,angustifola,0.19,,,41.48333333,-71.53333333,,Rathcke 1988
Ericaceae,Ledum,groendlanicum,0.06,0.02,0.08,island,island,,Wheelwright et al. 2006
Ericaceae,Lyonia,latifolia,0.77,,,41.48333333,-71.53333333,,Rathcke 1988
Ericaceae,Phyllodoce,aleutica,,0.71,,island,island,Japan,Kudo and Kasagi 2005
Ericaceae,Phyllodoce,caerulea,,0.69,,island,island,Japan,Kudo and Kasagi 2005
Ericaceae,Prionotes,cerinthoides,0.13,,,-42.82,146.38,,Johnson et al. 2010
Ericaceae,Pyrola,secunda,0.06,,,46.55,-66.15,,Barrett and Helenurm 1987
Ericaceae,Rhododendron,canadense,-0.23,-0.09,-0.34,island,island,,Wheelwright et al. 2006
Ericaceae,Rhododendron,championiae,0.80,1.00,1.00,island,island,,Ng and Corlett 2000
Ericaceae,Rhododendron,farrerae,0.17,0.82,0.85,island,island,,Ng and Corlett 2000
Ericaceae,Rhododendron,ferrugineum,,,0.96,45.41666667,6.166666667,,Escaravage et al. 1997
Ericaceae,Rhododendron,hongkongense,0.39,0.89,0.94,island,island,,Ng and Corlett 2000
Ericaceae,Rhododendron,ligustrina,-0.05,,,41.48333333,-71.53333333,,Rathcke 1988
Ericaceae,Rhododendron,moulmainense,1.00,1.00,1.00,island,island,,Ng and Corlett 2000
Ericaceae,Rhododendron,ponticum,-0.05,,,island,island,,Stout 2007
Ericaceae,Rhododendron,prinophyllum,0.71,,,45,-93,avg. see inds. Tab; unknown origins,Padrutt et al. 1992
Ericaceae,Rhododendron,simiarum,0.09,0.92,0.93,island,island,,Ng and Corlett 2000
Ericaceae,Rhododendron,simsii,0.48,0.95,0.98,island,island,,Ng and Corlett 2000
Ericaceae,Satyria,warszewiczii,-0.03,,,9.567,-83.8,,Wesselingh et al. 1999
Ericaceae,Vaccinium,angustifolium,0.63,0.75,0.91,47.146,-85.95,four site average,multiple
Ericaceae,Vaccinium,ashei,0.51,0.50,0.75,31.466,-82.024,"avg of 2 cultivars, see inds tab; range estimate",Brevis et al. 2006
Ericaceae,Vaccinium,corymbosum,0.17,0.53,0.61,cultivar,cultivar,three cult. Three wild pops,multiple
Ericaceae,Vaccinium,macrocarpon,0.07,,,39.818,-74.535,avg. see inds. Tab,Sarracino and Vorsa 1991
Ericaceae,Vaccinium,myrtilloides,0.62,0.88,0.96,46.954,-85.475,,multiple
Ericaceae,Vaccinium,myrtillus,0.37,0.57,0.73,58.227,17.375,,multiple
Ericaceae,Vaccinium,oxycoccos,0.79,,,58.1,14.066,,Froborg 1996
Ericaceae,Vaccinium,uliginosum,0.62,0.38,0.76,54.175,11.4,,multiple
Ericaceae,Vaccinium,vitis_idaea,0.30,0.50,0.65,58.227,17.375,,multiple
Erythroxylaceae,Erythroxylum,suberosum,1.00,,,-15.86666667,-47.85,Barros 1998,Oliveira and Gibbs 2000
Erythroxylaceae,Erythroxylum,tortuosum,1.00,,,-15.86666667,-47.85,Barros 1998,Oliveira and Gibbs 2000
Escalloniaceae,Escallonia,myrtoidea,0.95,,,-33.267,-70.3,,Valdivia and Neimeyer 2006
Euphorbiaceae,Caperonia,palustris,-0.20,0.35,0.22,8.933333333,-67.41666667,,Ramirez and Brito 1990
Euphorbiaceae,Cnidoscolus,urens,0.07,0.07,0.14,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Euphorbiaceae,Croton,flavens,0.06,0.08,0.13,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Euphorbiaceae,Croton,hirtus,0.58,0.61,0.84,8.933333333,-67.41666667,,Ramirez and Brito 1990
Euphorbiaceae,Croton,lobatus,0.38,0.13,0.46,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Euphorbiaceae,Croton,punctuatus,-0.11,0.12,0.02,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Euphorbiaceae,Croton,sonderianus,0.08,,,-7.333333333,-36.3,,Leite and Machado 2010
Euphorbiaceae,Dysopsis,glechomoides,0.13,,,-40,-72.3,,Riveros et al. 1996
Euphorbiaceae,Euphorbia,boetica,0.87,0.45,0.93,37.3,-6.083,,Nabona et al. 2011
Euphorbiaceae,Euphorbia,nicaeensis,0.10,0.06,0.15,37.33,-5.975,,Nabona et al. 2011
Euphorbiaceae,Jatropha,curcas,0.23,0.46,0.58,-15.79,43.3,ignored Pinto Juhasz et al. 2009 in favor of more complete Kaur et al. 2011,Kaur et al. 2011
Euphorbiaceae,Jatropha,gossypifolia,0.13,-0.12,0.02,11.71,-69.78,Average these two redundant entries,"Lemus-Jimenez and Ramirez 2005, Machado et al. 2006"
Euphorbiaceae,Jatropha,mollissima,0.32,,,-8.46,-37.42,Santos et al. 2005,Machado et al. 2006
Euphorbiaceae,Jatropha,mutabilis,0.25,,,-8.46,-37.42,Santos et al. 2005,Machado et al. 2006
Euphorbiaceae,Phyllanthus,nirui,0.71,0.93,0.98,10.5,-66.88,,Jaimes and Ramirez 1999
Fabaceae,Acacia,auriculiformis,,-0.02,,-25,135,,Sedgley et al. 1992
Fabaceae,Acacia,constricta,0.91,0.82,0.98,31.946,-109.115,,Wagner 2000
Fabaceae,Acacia,macracantha,1.00,1.00,1.00,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Fabaceae,Acacia,mangium,,-0.71,,-25,135,seed set #s are actually # of penetrated ovules,Sedgley et al. 1992
Fabaceae,Acacia,mearnsii,,1.00,,-37.641,145.515,,Kenrick and Knox 1989
Fabaceae,Acacia,myrtifolia,,0.81,,-37.825,144.236,,Kenrick and Knox 1989
Fabaceae,Acacia,paradoxa,,0.21,,-37.825,144.236,,Kenrick and Knox 1989
Fabaceae,Acacia,praecox,0.76,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Acacia,pycnantha,,1.00,,-37.825,144.236,,Kenrick and Knox 1989
Fabaceae,Acacia,retinoides,0.98,0.99,1.00,-38.458,144.9,,multiple
Fabaceae,Acacia,senegal,0.80,,,27.975,75.146,avg. see inds. Tab,Tandon et al. 2001
